Weather,Time of Day (minutes),Number of People
sunny,9848,31
rainy,8909,68
windy,9352,13
sunny,620,26
windy,7851,76
snowy,9685,40
sunny,6045,28
snowy,1455,53
windy,2369,30
snowy,2933,47
windy,3878,58
rainy,6254,80
windy,227,42
windy,5438,57
rainy,590,83
snowy,546,76
snowy,5928,64
sunny,10052,18
windy,7496,57
rainy,5002,73
sunny,4560,56
rainy,7164,70
snowy,4936,51
windy,4750,50
sunny,733,73
sunny,1125,80
windy,5081,47
sunny,3773,40
rainy,4675,87
snowy,1915,45
rainy,6823,78
rainy,6909,84
windy,6153,41
snowy,1212,80
rainy,3843,112
sunny,1918,27
sunny,3374,34
rainy,9219,77
rainy,3457,72
windy,789,22
rainy,326,98
windy,291,38
rainy,2755,57
rainy,7052,85
snowy,260,48
windy,225,38
snowy,2719,39
rainy,3277,90
sunny,5482,37
windy,4634,52
sunny,1312,31
windy,3157,37
rainy,9979,64
snowy,5812,47
snowy,6368,47
rainy,762,116
sunny,3117,51
rainy,3588,68
snowy,2715,74
snowy,2165,86
windy,3216,13
windy,9641,39
sunny,74,45
snowy,6248,97
rainy,8792,72
snowy,5523,38
snowy,9349,47
snowy,9709,47
snowy,8492,61
rainy,5088,61
rainy,7914,83
snowy,4603,40
rainy,9336,70
sunny,2449,24
windy,9176,39
sunny,9486,24
sunny,5328,56
rainy,4881,90
sunny,6345,24
sunny,6016,23
snowy,7954,28
rainy,3251,66
snowy,2145,57
sunny,4074,43
snowy,5993,56
sunny,6523,51
snowy,8751,60
rainy,4872,85
rainy,2552,54
windy,4963,53
rainy,6371,73
windy,9931,29
snowy,8109,68
rainy,7390,89
windy,9006,64
snowy,8808,42
sunny,150,25
windy,9901,39
windy,7038,25
sunny,4004,26
snowy,6948,64
snowy,9902,69
rainy,1181,105
windy,3994,49
windy,5906,75
snowy,1435,64
windy,636,51
snowy,9486,58
windy,2083,46
rainy,2078,95
snowy,9637,76
windy,8896,22
sunny,3250,8
rainy,5686,59
snowy,618,67
snowy,7983,62
snowy,4555,43
rainy,2223,86
windy,2983,18
sunny,1627,31
rainy,4804,79
snowy,6559,75
sunny,5693,31
windy,1816,44
snowy,395,48
windy,2824,24
rainy,7045,80
sunny,7279,53
windy,4729,53
snowy,7323,53
rainy,7850,47
rainy,2220,61
snowy,7149,55
snowy,426,58
rainy,636,77
sunny,2914,2
snowy,9585,74
sunny,5572,55
rainy,9492,76
snowy,8315,53
rainy,10079,69
rainy,2598,74
snowy,1015,56
snowy,1768,55
rainy,5761,93
rainy,6467,84
windy,8359,33
snowy,1006,53
snowy,3977,42
sunny,1549,29
snowy,6920,67
rainy,9313,90
snowy,9938,50
rainy,3307,74
sunny,3141,19
sunny,782,14
snowy,6261,73
sunny,673,44
rainy,8399,63
rainy,8724,64
windy,2660,20
windy,3745,44
sunny,853,22
sunny,3921,28
snowy,3710,54
snowy,6642,53
windy,16,67
rainy,3529,45
snowy,1977,78
sunny,2223,11
rainy,8706,53
sunny,710,33
rainy,437,91
sunny,8502,31
windy,3302,54
rainy,7105,76
windy,6525,44
windy,2697,3
sunny,9805,64
rainy,7637,99
sunny,5394,4
sunny,3154,9
windy,9313,33
rainy,8494,92
sunny,7268,33
windy,1225,23
windy,1608,32
windy,3137,38
windy,8123,57
windy,9773,27
snowy,6302,80
snowy,477,32
sunny,4966,38
snowy,5042,63
sunny,9075,20
snowy,35,79
rainy,5105,57
snowy,7501,28
snowy,6162,88
sunny,3026,46
sunny,3865,6
rainy,6366,100
rainy,3266,80
snowy,8233,53
windy,7700,39
snowy,4934,80
snowy,3447,62
windy,4238,50
sunny,9541,27
sunny,3215,23
sunny,3429,11
snowy,3988,61
sunny,9749,33
rainy,4054,85
snowy,2236,23
snowy,668,56
snowy,6921,62
sunny,7235,35
windy,4654,29
windy,9912,53
rainy,6887,83
snowy,2470,70
rainy,9743,100
windy,7895,21
windy,5752,44
windy,4840,40
windy,5841,67
rainy,3533,47
windy,7669,51
snowy,6367,45
windy,9718,33
snowy,1300,44
rainy,8481,78
windy,7274,29
sunny,5235,51
rainy,9693,68
rainy,9603,59
rainy,242,74
sunny,2863,35
sunny,9086,35
snowy,6787,88
windy,8472,26
windy,7483,63
windy,814,42
sunny,2918,11
sunny,2901,6
rainy,3794,91
sunny,8808,19
rainy,3658,100
sunny,6068,21
rainy,1040,67
rainy,8569,104
snowy,1215,31
windy,6645,43
rainy,9040,55
windy,6972,37
snowy,5634,53
snowy,3165,83
sunny,2051,14
snowy,9100,88
snowy,2829,36
windy,1804,69
rainy,3179,80
rainy,5809,78
snowy,1443,48
snowy,5251,65
windy,2862,42
windy,4412,42
snowy,8261,42
rainy,5544,93
rainy,8886,82
rainy,5951,63
snowy,599,64
windy,3758,37
windy,4667,50
sunny,3665,30
sunny,6805,62
snowy,5217,52
windy,8948,36
sunny,4759,48
sunny,1905,30
windy,2380,51
snowy,7561,67
windy,4049,20
windy,6102,41
rainy,3816,73
snowy,820,36
snowy,906,22
snowy,1861,27
sunny,3615,9
rainy,1843,77
rainy,1624,74
rainy,5357,100
snowy,9751,44
windy,6105,13
sunny,3137,37
sunny,3327,21
windy,7923,28
windy,5221,23
windy,2646,18
windy,5771,34
snowy,4684,63
sunny,2478,25
sunny,6596,14
sunny,2447,3
sunny,6956,33
snowy,1464,58
snowy,1709,67
windy,5017,47
windy,6239,51
windy,2452,47
windy,96,46
windy,6558,62
rainy,6767,78
rainy,4943,72
rainy,3474,89
rainy,5101,92
snowy,3679,33
windy,4826,26
rainy,3237,79
windy,1791,23
sunny,3335,50
sunny,9152,29
snowy,1019,52
snowy,2819,55
windy,1262,44
sunny,9485,16
sunny,5128,36
rainy,2133,94
sunny,713,26
sunny,5734,41
windy,9522,28
sunny,8730,54
rainy,9012,95
windy,3904,45
windy,9980,24
windy,8034,26
rainy,5302,69
rainy,1152,137
sunny,2732,51
snowy,1176,96
windy,2955,45
sunny,9742,41
windy,138,63
sunny,8422,41
sunny,8697,33
snowy,2760,55
windy,3696,58
windy,5049,33
windy,3564,50
sunny,6644,39
rainy,5002,87
snowy,7214,40
sunny,9169,31
snowy,80,62
rainy,5823,36
snowy,8265,58
rainy,5550,106
rainy,6156,71
sunny,2015,32
sunny,9948,31
sunny,1653,23
snowy,4646,53
rainy,5386,66
rainy,6353,85
sunny,2239,54
sunny,6200,28
sunny,2500,0
rainy,519,82
rainy,6781,100
windy,4083,46
rainy,5172,94
sunny,2376,23
windy,6896,43
sunny,6896,46
windy,6667,29
windy,9633,52
windy,7425,65
sunny,9611,48
sunny,3313,21
sunny,8250,8
windy,5587,17
rainy,6179,91
sunny,263,25
windy,6139,32
rainy,6787,64
rainy,3355,108
windy,865,50
sunny,272,14
rainy,9636,92
sunny,6633,11
rainy,8225,72
snowy,9160,49
windy,3632,48
windy,4751,11
sunny,3176,55
rainy,4778,80
windy,5671,55
windy,2887,29
rainy,342,80
rainy,774,108
windy,6913,29
snowy,3500,62
snowy,6794,64
rainy,8834,88
windy,9402,38
rainy,9594,96
windy,5037,26
rainy,5329,104
rainy,8718,80
sunny,1407,30
snowy,6515,51
rainy,7506,46
rainy,8821,83
sunny,720,77
rainy,6404,74
snowy,8552,64
rainy,7048,93
sunny,7615,30
rainy,9336,97
rainy,9991,63
sunny,6533,14
windy,5603,36
snowy,1780,50
rainy,6440,76
sunny,3856,40
windy,5987,29
windy,783,44
sunny,700,54
sunny,7769,16
sunny,1614,20
sunny,8154,51
windy,2352,59
rainy,1787,65
windy,9689,30
snowy,2395,63
snowy,4711,74
windy,299,29
sunny,9414,44
sunny,4052,44
sunny,609,42
rainy,1190,105
sunny,8395,39
sunny,9732,10
windy,2220,71
windy,3132,32
rainy,6664,96
sunny,6882,0
snowy,5141,63
rainy,7069,78
sunny,9376,39
rainy,749,152
windy,5414,41
rainy,9972,71
rainy,6888,73
sunny,7882,22
rainy,1900,79
sunny,561,15
windy,125,35
rainy,7732,74
snowy,4722,54
rainy,4218,81
snowy,1617,52
snowy,2169,64
sunny,6080,41
windy,4512,27
rainy,1026,89
snowy,4505,57
windy,3818,15
windy,1554,46
sunny,748,90
sunny,2803,5
sunny,7049,19
snowy,3114,63
rainy,7019,72
rainy,10014,84
sunny,9479,44
windy,1960,13
sunny,9915,35
rainy,8346,70
sunny,4892,18
snowy,4431,46
snowy,3432,60
sunny,2932,0
snowy,6060,59
windy,2855,69
snowy,9454,70
sunny,3373,16
rainy,3851,63
snowy,8290,81
windy,1266,49
sunny,8451,15
windy,5503,27
snowy,9623,52
windy,6573,38
sunny,1101,87
sunny,5442,9
snowy,4450,74
windy,9565,47
rainy,2691,73
snowy,5162,60
snowy,3982,65
sunny,3727,6
windy,8973,23
snowy,3546,45
sunny,2836,4
windy,2178,41
rainy,8532,77
rainy,2143,96
rainy,5903,82
rainy,4553,88
snowy,8833,78
rainy,136,59
rainy,7644,72
snowy,7780,79
rainy,8751,83
windy,3393,40
windy,9027,47
rainy,10013,70
windy,3421,51
snowy,9937,70
rainy,3149,110
windy,1452,30
windy,847,71
windy,9225,63
rainy,5017,34
rainy,5261,83
snowy,8107,61
sunny,9395,24
snowy,6279,57
rainy,5128,99
rainy,2858,62
sunny,2120,1
snowy,7404,52
sunny,7523,57
windy,7277,30
windy,2282,44
rainy,311,95
snowy,1243,53
snowy,5172,47
windy,3588,38
snowy,8414,65
windy,3921,47
rainy,3163,102
windy,330,47
rainy,4349,95
rainy,5553,76
sunny,9352,27
sunny,1039,21
windy,8917,58
snowy,630,36
rainy,8168,75
sunny,8921,21
windy,4348,41
rainy,7345,79
snowy,8923,59
rainy,8649,72
rainy,8393,46
windy,732,58
rainy,3663,109
snowy,6637,59
snowy,4260,71
sunny,8915,22
sunny,9328,11
rainy,9054,79
sunny,2830,46
windy,2836,51
windy,2363,44
windy,2309,47
rainy,4776,81
snowy,8951,48
windy,2748,36
rainy,1266,87
windy,1311,29
windy,2453,54
sunny,8850,29
snowy,5881,74
sunny,6067,24
snowy,4186,66
rainy,6301,77
sunny,9144,51
sunny,8679,28
rainy,5688,70
windy,7166,31
windy,1125,101
rainy,7943,85
windy,8205,49
sunny,19,43
snowy,6960,33
windy,9103,32
sunny,4422,43
windy,2210,31
sunny,10008,28
windy,1970,38
windy,9340,48
snowy,225,39
rainy,2953,76
sunny,873,18
sunny,1385,71
windy,6880,42
windy,7453,50
windy,2325,7
windy,5702,10
windy,4052,45
rainy,21,99
sunny,7250,48
rainy,2587,75
snowy,1090,107
rainy,278,85
windy,8454,64
windy,4750,35
rainy,5469,80
rainy,2305,94
windy,45,31
sunny,1942,17
sunny,4418,34
snowy,1103,148
sunny,4845,36
rainy,586,73
windy,8642,52
rainy,7741,75
snowy,5757,49
windy,1544,37
snowy,6144,41
rainy,6166,92
windy,5043,48
sunny,7798,15
windy,8161,26
rainy,1950,63
rainy,3616,70
windy,8689,47
snowy,4265,73
windy,7551,56
sunny,7576,44
sunny,2511,5
windy,8900,27
rainy,5283,105
rainy,4473,95
sunny,1907,32
snowy,4849,52
sunny,7983,0
windy,4047,39
windy,9713,25
rainy,1650,76
rainy,1367,80
rainy,3746,64
sunny,7948,28
snowy,2039,85
windy,5555,32
sunny,6465,49
sunny,7919,25
sunny,7509,41
sunny,534,10
snowy,8774,64
rainy,9188,100
snowy,4385,59
windy,9664,13
sunny,3404,41
sunny,973,38
windy,6212,36
rainy,5949,58
snowy,9693,74
windy,2050,35
sunny,6862,38
windy,9936,50
rainy,5691,88
windy,1214,13
snowy,1260,51
windy,3572,42
sunny,7372,34
snowy,2883,48
sunny,9515,33
sunny,9428,40
snowy,191,70
sunny,9100,37
rainy,2409,73
windy,297,40
snowy,3646,62
sunny,405,44
sunny,6197,18
windy,9146,38
rainy,1035,61
rainy,4970,69
rainy,3604,79
sunny,7586,23
rainy,5035,73
windy,1248,11
windy,4136,20
windy,6934,32
windy,7364,64
snowy,7311,59
windy,4288,20
snowy,7128,45
rainy,7192,80
snowy,9636,34
windy,4562,56
snowy,8569,81
windy,168,38
snowy,6549,66
sunny,7625,0
sunny,6728,37
windy,4216,46
windy,2463,35
snowy,9416,31
windy,4096,29
sunny,9298,29
rainy,2084,72
sunny,810,29
rainy,8324,89
windy,8173,47
rainy,3135,104
sunny,7039,41
windy,6215,7
rainy,6631,82
windy,8728,32
windy,8929,35
snowy,7701,72
windy,343,66
snowy,3320,48
sunny,2279,13
rainy,1608,79
snowy,3698,59
windy,8369,19
snowy,5440,46
sunny,3957,12
rainy,1308,88
windy,1515,49
windy,3765,51
sunny,6151,44
rainy,4235,45
windy,3293,39
windy,9939,63
sunny,5708,13
sunny,880,31
rainy,25,71
snowy,2367,64
sunny,8027,37
windy,6553,40
windy,3274,25
rainy,9978,76
windy,1891,39
snowy,6924,61
windy,4686,38
rainy,9192,76
snowy,3618,54
snowy,3979,47
windy,8783,30
windy,2291,44
sunny,2887,45
sunny,7348,18
rainy,9856,96
snowy,7732,65
snowy,6848,68
snowy,9804,48
rainy,184,65
windy,5134,50
rainy,8513,62
sunny,7673,51
rainy,1088,150
snowy,1935,65
windy,7706,40
sunny,120,33
sunny,3170,34
snowy,9416,72
snowy,3869,67
snowy,7593,55
rainy,6032,109
sunny,2869,51
snowy,2962,71
sunny,7805,40
snowy,1260,55
snowy,5896,41
sunny,4762,31
snowy,6421,49
snowy,9044,44
snowy,6731,54
sunny,4090,19
rainy,4619,69
snowy,6351,90
sunny,7672,35
sunny,9991,43
windy,4784,39
windy,3625,43
sunny,8912,33
snowy,5095,60
windy,841,41
snowy,2938,47
rainy,6639,81
snowy,3796,53
snowy,315,38
sunny,6850,36
rainy,8342,62
snowy,611,71
rainy,8037,50
rainy,4800,78
snowy,7815,38
snowy,1758,93
rainy,665,88
sunny,8332,41
snowy,5911,66
snowy,6517,62
snowy,2822,69
rainy,7220,99
windy,4040,33
sunny,1399,4
sunny,3844,27
windy,2287,13
windy,6924,36
rainy,4151,83
sunny,6636,20
windy,9444,50
sunny,8802,10
rainy,3312,68
snowy,6714,44
snowy,8263,43
sunny,8556,34
sunny,3722,20
rainy,5345,62
sunny,6080,38
rainy,9970,81
rainy,5037,91
snowy,8760,71
rainy,6266,37
sunny,3195,21
snowy,9389,49
snowy,2096,52
windy,3802,27
windy,9034,37
snowy,5934,50
rainy,3574,56
windy,6160,50
sunny,9255,23
snowy,8047,62
windy,1051,39
snowy,9439,59
rainy,901,89
snowy,6387,55
sunny,8314,17
windy,1432,51
windy,629,32
sunny,9042,30
rainy,2914,68
windy,309,31
snowy,2434,26
windy,7745,13
sunny,6695,13
windy,8215,63
sunny,3400,29
rainy,8686,89
sunny,1931,26
sunny,9379,58
windy,5064,41
rainy,6541,96
snowy,7202,49
windy,6277,49
sunny,3777,33
rainy,4428,84
rainy,4428,86
rainy,5026,112
rainy,9090,74
snowy,1793,83
windy,4643,17
snowy,5711,40
sunny,2181,33
windy,585,32
windy,8443,52
rainy,6812,70
rainy,8962,47
snowy,2373,40
rainy,3395,97
snowy,7800,61
windy,3851,22
rainy,6884,94
sunny,7344,33
sunny,2912,19
windy,6151,31
sunny,8241,71
windy,6040,57
snowy,2509,70
sunny,9315,49
windy,7950,56
rainy,489,112
windy,5687,33
sunny,5985,31
snowy,4666,28
rainy,5896,85
windy,3480,71
rainy,4457,87
rainy,3747,91
snowy,854,57
snowy,6936,82
sunny,3922,25
snowy,3544,76
sunny,8852,0
windy,2661,16
windy,367,43
windy,8949,32
rainy,3988,72
snowy,8967,76
sunny,9794,34
sunny,6501,51
rainy,9045,99
windy,5049,18
rainy,4198,60
windy,6475,13
snowy,2970,55
windy,8162,19
rainy,3043,106
windy,7697,30
windy,3725,32
windy,6398,47
sunny,1072,43
windy,2191,51
windy,6514,56
windy,7691,26
rainy,8038,106
sunny,7589,23
sunny,5777,55
rainy,7720,112
rainy,9038,89
sunny,6949,11
windy,7327,40
sunny,3991,31
sunny,2978,28
snowy,9138,60
windy,3045,46
snowy,3211,48
sunny,6325,17
rainy,7025,71
sunny,1466,44
windy,1788,55
windy,9800,39
windy,1138,59
sunny,3120,33
snowy,1185,102
windy,7897,14
sunny,7610,18
windy,4624,49
windy,1777,54
rainy,6766,82
snowy,6418,53
windy,7076,28
snowy,8243,55
windy,3274,47
windy,1596,84
rainy,2292,96
snowy,352,50
rainy,1556,49
windy,4885,38
sunny,7867,41
snowy,8028,79
sunny,1752,48
sunny,5319,11
sunny,1162,66
snowy,1765,65
rainy,3084,72
windy,3007,53
rainy,5112,78
windy,9508,45
rainy,7519,99
sunny,3401,28
windy,907,29
sunny,4948,41
windy,972,39
snowy,4727,94
snowy,5989,77
snowy,2010,99
snowy,4955,41
sunny,6393,28
rainy,2524,51
windy,4147,15
rainy,2664,88
rainy,1400,69
rainy,4203,98
sunny,9565,44
rainy,7952,92
snowy,8363,45
sunny,4240,33
sunny,5471,44
sunny,9961,40
sunny,1410,33
rainy,5198,62
windy,9515,41
windy,3549,43
windy,3527,60
rainy,1736,73
rainy,1277,111
windy,7895,29
windy,7229,33
rainy,1844,87
snowy,1733,51
rainy,7291,93
rainy,7817,84
snowy,67,21
rainy,1977,72
snowy,1303,46
sunny,8371,23
rainy,9373,75
windy,4538,33
rainy,5083,112
sunny,1975,14
rainy,7204,58
snowy,259,59
windy,1629,38
rainy,2985,83
rainy,8989,63
rainy,2769,91
rainy,8253,78
windy,313,41
snowy,8909,30
sunny,331,36
rainy,1440,49
windy,1565,39
sunny,158,9
windy,6442,30
snowy,330,69
rainy,7617,77
rainy,1342,87
rainy,4124,77
windy,3307,56
rainy,3520,70
windy,8968,11
windy,8139,64
sunny,8705,24
snowy,9879,105
sunny,479,23
sunny,1678,45
sunny,7864,31
rainy,8259,68
snowy,9600,47
snowy,2144,79
snowy,1354,44
sunny,104,8
windy,4466,22
rainy,1928,80
rainy,9823,84
snowy,3247,69
windy,8483,14
rainy,7172,78
sunny,6650,42
sunny,1115,71
snowy,3932,88
sunny,6493,14
rainy,5618,89
rainy,7343,81
snowy,5212,57
windy,7365,50
rainy,1474,98
sunny,3722,11
windy,7729,36
snowy,9976,82
rainy,7885,90
windy,2789,62
sunny,1459,35
rainy,3711,80
sunny,8590,41
sunny,5785,4
windy,7860,9
windy,1000,69
windy,1738,32
sunny,9350,35
snowy,5671,70
windy,1922,57
sunny,4170,36
snowy,130,42
rainy,5792,104
sunny,3176,39
snowy,4490,32
snowy,9929,48
windy,2406,46
windy,490,82
sunny,207,19
sunny,7219,16
snowy,9688,60
sunny,8881,20
snowy,8872,60
snowy,1079,70
snowy,5587,75
sunny,2097,0
windy,5385,41
sunny,201,24
sunny,8621,27
rainy,2985,81
snowy,4724,84
rainy,5349,52
snowy,4802,62
rainy,9684,70
snowy,5400,42
windy,8739,46
snowy,8983,59
sunny,6908,27
rainy,2828,79
snowy,5963,88
sunny,5661,53
rainy,819,82
rainy,6289,80
windy,6661,53
windy,2931,30
snowy,9100,52
snowy,9487,69
rainy,374,99
windy,4019,36
sunny,4762,29
windy,651,39
rainy,4563,96
snowy,6074,74
snowy,6997,66
sunny,4326,15
windy,242,33
rainy,7635,73
windy,8867,32
windy,4441,43
rainy,3826,83
snowy,3913,72
sunny,9126,38
windy,1791,43
windy,4640,30
windy,9306,53
rainy,5648,90
rainy,2328,83
sunny,7119,24
sunny,9168,35
windy,1695,41
windy,7773,53
windy,3903,55
windy,7436,49
windy,7943,54
rainy,9484,58
sunny,8980,22
windy,7257,44
rainy,1379,91
rainy,9473,94
windy,5403,52
snowy,4629,49
rainy,10034,85
snowy,5547,64
snowy,4500,57
rainy,2488,80
windy,335,50
rainy,8807,100
snowy,5330,61
snowy,1382,47
windy,3590,51
sunny,922,36
snowy,9440,73
windy,6606,20
snowy,8781,66
snowy,7499,67
snowy,399,30
windy,6694,45
sunny,982,24
sunny,10044,37
rainy,3640,76
windy,9653,37
rainy,690,87
sunny,1466,15
snowy,3339,50
snowy,7986,34
sunny,7516,55
sunny,6808,42
snowy,3460,51
windy,9176,35
sunny,253,32
sunny,6689,24
snowy,4333,50
sunny,7647,36
snowy,6852,36
windy,8379,54
snowy,443,77
snowy,5678,65
sunny,895,35
windy,1703,41
sunny,9058,10
windy,8576,18
snowy,2497,72
sunny,5553,25
rainy,9041,42
rainy,9733,82
windy,2183,45
sunny,246,27
sunny,846,22
rainy,3805,68
sunny,7445,7
rainy,4896,92
sunny,9720,28
sunny,3532,32
snowy,9730,78
rainy,2531,80
rainy,8240,101
snowy,5792,42
rainy,2459,89
snowy,9118,32
windy,2009,41
sunny,931,48
rainy,4774,92
windy,9055,31
windy,1172,73
snowy,4921,64
rainy,4742,76
snowy,7170,60
sunny,366,44
sunny,1642,42
sunny,9945,46
snowy,5515,19
windy,3509,49
windy,3869,14
rainy,3651,78
snowy,6449,43
snowy,3194,56
sunny,1337,36
windy,5346,51
rainy,3383,63
snowy,6805,69
windy,8262,21
snowy,7771,67
sunny,2893,44
sunny,9458,21
windy,2317,30
windy,8237,37
windy,4068,41
rainy,9466,70
sunny,9936,8
sunny,9755,36
snowy,7431,57
windy,6467,38
sunny,2880,65
windy,468,21
rainy,5111,85
rainy,1209,62
sunny,3281,22
sunny,9714,44
snowy,8536,59
sunny,3296,45
windy,9151,28
sunny,4523,55
rainy,4057,80
snowy,5058,63
rainy,2771,94
snowy,2242,72
sunny,5117,12
windy,3686,56
snowy,5607,76
windy,2154,45
windy,1791,29
snowy,7046,66
snowy,1703,74
sunny,8631,30
sunny,9458,4
sunny,8859,17
sunny,4261,28
windy,2367,57
windy,5498,29
sunny,1923,0
snowy,1992,70
snowy,90,55
sunny,2582,0
windy,4493,44
rainy,3307,75
rainy,5545,66
windy,366,25
rainy,5124,60
sunny,8412,40
sunny,171,36
windy,437,39
windy,6700,67
sunny,8466,20
rainy,2528,90
windy,8731,34
sunny,2300,32
snowy,6162,41
snowy,81,74
windy,8409,37
rainy,9229,62
rainy,10060,96
sunny,4037,24
sunny,6525,20
windy,6836,0
snowy,4109,72
windy,6445,33
sunny,8758,34
rainy,3288,75
rainy,1556,99
sunny,1965,35
sunny,6830,36
snowy,5212,61
windy,9240,36
windy,1716,27
windy,3308,37
rainy,4755,77
windy,974,23
windy,9541,40
sunny,2934,15
rainy,6172,76
snowy,8587,69
windy,8429,50
windy,5963,46
rainy,9456,76
snowy,8882,47
sunny,2194,26
windy,7048,51
rainy,2596,72
rainy,6924,83
rainy,2494,103
sunny,6061,18
sunny,7310,5
sunny,6395,32
rainy,5473,42
rainy,7441,79
rainy,7819,88
windy,3931,40
windy,865,20
rainy,758,107
rainy,3786,74
windy,5607,31
sunny,7313,22
rainy,1558,89
sunny,4044,26
sunny,495,24
sunny,5043,10
windy,8993,59
windy,1315,17
snowy,3068,34
rainy,7120,80
sunny,6083,63
snowy,6299,39
snowy,4869,71
snowy,2422,84
rainy,504,66
rainy,8039,86
rainy,1850,107
windy,5049,58
windy,1265,23
sunny,3226,37
rainy,3274,82
windy,8655,53
snowy,302,54
snowy,7203,59
rainy,869,74
rainy,9850,68
rainy,9388,59
rainy,8455,73
rainy,8463,82
rainy,8588,102
windy,283,17
windy,875,16
sunny,9059,33
snowy,4077,58
snowy,2749,76
snowy,4184,67
rainy,6436,81
snowy,10040,62
snowy,4927,46
windy,759,58
snowy,6472,44
sunny,4044,51
windy,8982,63
sunny,6385,26
rainy,4757,76
windy,2954,46
sunny,4345,28
rainy,7975,102
snowy,7316,57
snowy,6440,66
sunny,377,52
sunny,1562,39
rainy,2692,97
snowy,1971,58
rainy,1392,74
sunny,1472,17
rainy,9428,96
snowy,3421,35
sunny,3529,46
windy,2937,66
windy,4841,53
rainy,5326,80
sunny,259,25
rainy,8768,75
rainy,4883,107
sunny,6975,23
windy,6823,42
windy,600,38
sunny,5241,47
windy,4549,21
windy,862,49
sunny,6951,31
sunny,4456,22
snowy,7042,54
sunny,4178,25
sunny,2330,47
rainy,2178,79
snowy,3056,66
rainy,2747,61
sunny,9661,37
rainy,1277,80
windy,5767,46
sunny,4635,17
windy,100,39
rainy,5134,82
rainy,5117,88
windy,2895,32
rainy,4887,91
rainy,1527,72
rainy,1891,74
snowy,9730,41
windy,4892,32
windy,2446,46
sunny,2210,30
sunny,2203,37
sunny,1507,34
rainy,5270,81
sunny,4185,40
sunny,7987,33
sunny,4639,38
sunny,599,52
snowy,10006,78
rainy,8151,79
rainy,8409,90
snowy,7556,30
snowy,7305,69
sunny,6004,35
windy,6237,17
windy,6850,13
snowy,2922,40
snowy,6085,57
windy,1803,6
rainy,7227,96
sunny,5073,39
windy,889,47
rainy,4001,67
sunny,1110,77
snowy,4315,66
snowy,10003,77
windy,50,56
sunny,8461,25
snowy,9803,60
rainy,2283,58
rainy,2729,98
snowy,1661,60
windy,7285,50
snowy,634,78
rainy,8447,72
sunny,1856,42
sunny,9896,25
rainy,2488,76
windy,3489,37
rainy,7374,86
snowy,8472,105
rainy,836,83
snowy,4375,79
windy,1961,53
sunny,6120,53
sunny,6747,22
sunny,4126,20
rainy,4836,83
sunny,1451,56
rainy,126,82
snowy,6685,68
windy,8858,56
rainy,6077,76
windy,9019,47
rainy,610,78
snowy,3951,45
windy,8137,71
sunny,2785,47
sunny,2833,44
snowy,2523,78
sunny,1787,36
snowy,8993,42
rainy,7014,61
snowy,6163,71
snowy,6161,52
rainy,1157,114
windy,5713,40
windy,4998,9
windy,1839,42
windy,3489,40
snowy,6657,92
rainy,4096,100
snowy,4148,29
sunny,1925,0
sunny,2389,0
windy,1365,37
windy,3982,46
windy,2283,34
snowy,6754,48
snowy,2787,68
windy,780,53
snowy,159,33
windy,5412,32
windy,6099,65
snowy,5846,77
rainy,1734,68
windy,6807,35
rainy,4108,71
snowy,8758,58
windy,3291,26
sunny,9760,37
sunny,9322,13
sunny,5185,29
windy,1934,15
sunny,6562,33
sunny,3318,44
sunny,8856,37
windy,3700,33
snowy,7885,67
sunny,1714,62
snowy,4347,54
windy,6302,54
snowy,1044,74
snowy,3621,34
rainy,3762,65
snowy,1655,70
snowy,7628,50
snowy,3902,39
windy,7284,23
sunny,3225,32
snowy,9197,60
snowy,9327,61
windy,8371,45
rainy,4238,86
sunny,1866,41
sunny,8032,48
windy,7797,43
windy,4531,55
sunny,8963,39
snowy,6837,35
rainy,2805,87
windy,6398,30
windy,7103,29
snowy,6611,71
snowy,2781,51
snowy,9267,55
snowy,2376,75
rainy,667,62
windy,2262,27
snowy,3213,55
rainy,5011,73
sunny,5802,17
snowy,8511,64
snowy,9693,81
rainy,9578,68
rainy,1045,91
sunny,5884,0
windy,4527,21
rainy,9091,87
sunny,2029,17
rainy,5497,77
rainy,7681,81
windy,848,11
snowy,5651,57
sunny,4448,28
sunny,2601,17
sunny,588,36
snowy,7020,75
snowy,7849,70
sunny,3734,34
windy,627,50
sunny,1987,39
snowy,7485,62
rainy,507,71
windy,8128,57
sunny,6545,31
sunny,2559,51
windy,9567,76
rainy,2021,95
windy,9490,5
sunny,3451,7
rainy,4881,99
rainy,886,94
rainy,571,74
snowy,955,49
sunny,4400,12
rainy,4752,85
windy,9037,37
snowy,4815,32
rainy,6885,70
rainy,7805,75
snowy,8634,75
sunny,5841,25
windy,5006,29
sunny,5295,44
windy,7913,45
rainy,1475,86
rainy,2554,67
snowy,9544,99
rainy,9010,54
snowy,6629,41
windy,2500,53
windy,2928,70
sunny,1615,5
snowy,5917,57
snowy,7943,53
sunny,4993,32
rainy,2127,102
snowy,6836,71
rainy,4800,88
rainy,3752,58
windy,4050,32
rainy,8620,77
rainy,5194,90
rainy,6703,48
rainy,37,86
windy,6998,35
sunny,3647,33
sunny,6438,40
windy,8623,11
sunny,7684,17
windy,6869,27
windy,488,0
windy,5744,42
snowy,2949,71
sunny,963,7
snowy,1949,80
windy,9401,46
rainy,9829,65
rainy,2772,61
sunny,9767,40
snowy,1704,76
